run-id,use_vernalisation_fix,sowing-date,harvest-date,crop-id,sim.json,crop.json,site.json,incl_hist,climate_path_to_latlon_file,climate_path_to_csvs,gcm,rcm,scenario,ensmem,version,start_date,end_date,groundwater-level,impenetrable-layer,elevation,slope,latitude,landcover,fertilization,NitrogenResponseOn,irrigation,WaterDeficitResponseOn,EmergenceMoistureControlOn,EmergenceFloodingControlOn,LeafExtensionModifier,CO2,O3,FieldConditionModifier,StageTemperatureSum,comment,region_name,crop_data,species_param_name,cultivar_param_name,param_value,param_index_in_array,coeff
1,True,fixed,auto,SM_sfix_hauto,sim_sensitivity.json,crop2.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2017-01-01,2017-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,,historic_runs,,SAX_CType2_2017_100_25832_etrs89-utm32n.asc,,DroughtStressThreshold,0.56,1,
2,True,fixed,auto,SM_sfix_hauto,sim_sensitivity.json,crop2.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2017-01-01,2017-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,,historic_runs,,SAX_CType2_2017_100_25832_etrs89-utm32n.asc,,DroughtStressThreshold,0.56,2,
3,True,fixed,auto,SM_sfix_hauto,sim_sensitivity.json,crop2.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2017-01-01,2017-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,,historic_runs,,SAX_CType2_2017_100_25832_etrs89-utm32n.asc,,DroughtStressThreshold,0.56,3,
4,True,fixed,auto,SM_sfix_hauto,sim_sensitivity.json,crop2.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2017-01-01,2017-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,,historic_runs,,SAX_CType2_2017_100_25832_etrs89-utm32n.asc,,DroughtStressThreshold,0.56,4,
5,True,fixed,auto,SM_sfix_hauto,sim_sensitivity.json,crop2.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2017-01-01,2017-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,,historic_runs,,SAX_CType2_2017_100_25832_etrs89-utm32n.asc,,DroughtStressThreshold,0.56,5,
6,True,fixed,auto,SM_sfix_hauto,sim_sensitivity.json,crop2.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2017-01-01,2017-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,,historic_runs,,SAX_CType2_2017_100_25832_etrs89-utm32n.asc,,DroughtStressThreshold,0.56,6,
7,True,fixed,auto,SM_sfix_hauto,sim_sensitivity.json,crop2.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-01-01,2018-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,,historic_runs,,SAX_CType2_2018_100_25832_etrs89-utm32n.asc,,DroughtStressThreshold,0.56,1,
8,True,fixed,auto,SM_sfix_hauto,sim_sensitivity.json,crop2.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-01-01,2018-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,,historic_runs,,SAX_CType2_2018_100_25832_etrs89-utm32n.asc,,DroughtStressThreshold,0.56,2,
9,True,fixed,auto,SM_sfix_hauto,sim_sensitivity.json,crop2.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-01-01,2018-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,,historic_runs,,SAX_CType2_2018_100_25832_etrs89-utm32n.asc,,DroughtStressThreshold,0.56,3,
10,True,fixed,auto,SM_sfix_hauto,sim_sensitivity.json,crop2.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-01-01,2018-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,,historic_runs,,SAX_CType2_2018_100_25832_etrs89-utm32n.asc,,DroughtStressThreshold,0.56,4,
